,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
PISTOL,3340.00,480.00,5075.00,676.00,17488.00,2269.00,466.00,807.00,972.00,11522.00,8014.00,19.00,35.00,494.00,7220.00,3888.00,892.00,1383.00,1990.00,4622.00,188.00,3554.00,1007.00,3839.00,1472.00,2063.00,3620.00,328.00,804.00,1165.00,121.00,2032.00,1399.00,4041.00,6344.00,220.00,6359.00,814.00,1742.00,4775.00,392.00,237.00,2577.00,218.00,5189.00,13331.00,135.00,699.00,74.00,4794.00,1993.00,527.00,2468.00,91.00,150264.00
REVOLVER,868.00,116.00,1086.00,212.00,6779.00,661.00,183.00,169.00,295.00,3419.00,1784.00,3.00,18.00,158.00,2584.00,883.00,217.00,308.00,552.00,1318.00,50.00,1362.00,344.00,1354.00,393.00,681.00,737.00,113.00,213.00,293.00,43.00,907.00,359.00,1822.00,1983.00,43.00,1707.00,223.00,539.00,1653.00,42.00,77.00,946.00,52.00,1619.00,3002.00,27.00,202.00,40.00,1146.00,552.00,151.00,468.00,36.00,44792.00
RIFLE,830.00,148.00,1466.00,196.00,7926.00,809.00,130.00,125.00,101.00,2400.00,1157.00,9.00,38.00,279.00,1309.00,592.00,293.00,345.00,373.00,996.00,104.00,1690.00,202.00,955.00,497.00,416.00,693.00,342.00,286.00,269.00,57.00,468.00,456.00,997.00,1793.00,124.00,1015.00,334.00,833.00,1441.00,54.00,40.00,1135.00,133.00,1082.00,2995.00,13.00,250.00,74.00,1055.00,886.00,521.00,478.00,63.00,41273.00
SHOTGUN,617.00,75.00,766.00,129.00,4267.00,431.00,85.00,136.00,82.00,1525.00,817.00,6.00,15.00,130.00,1080.00,522.00,206.00,258.00,284.00,735.00,60.00,1426.00,138.00,703.00,371.00,297.00,434.00,102.00,235.00,154.00,28.00,317.00,237.00,821.00,1443.00,75.00,672.00,160.00,384.00,864.00,9.00,19.00,1548.00,72.00,793.00,2119.00,3.00,137.00,30.00,718.00,431.00,219.00,316.00,18.00,27519.00
DERRINGER,62.00,7.00,66.00,10.00,277.00,36.00,6.00,2.00,12.00,160.00,100.00,1.00,0.00,8.00,123.00,71.00,9.00,27.00,39.00,62.00,6.00,47.00,27.00,55.00,20.00,24.00,48.00,10.00,13.00,13.00,3.00,22.00,25.00,81.00,104.00,2.00,97.00,16.00,31.00,95.00,1.00,4.00,31.00,20.00,70.00,159.00,1.00,6.00,1.00,49.00,36.00,15.00,23.00,1.00,2234.00
UNKNOWN,9.00,1.00,2.00,0.00,33.00,10.00,1.00,1.00,0.00,16.00,12.00,0.00,0.00,0.00,8.00,1.00,0.00,0.00,44.00,4.00,0.00,6.00,2.00,10.00,1.00,6.00,2.00,3.00,1.00,1.00,1.00,2.00,5.00,5.00,1595.00,10.00,21.00,3.00,0.00,6.00,0.00,0.00,15.00,0.00,38.00,28.00,0.00,0.00,0.00,3.00,5.00,5.00,2.00,0.00,1918.00
RECEIVER / FRAME,20.00,13.00,71.00,1.00,141.00,22.00,2.00,5.00,2.00,265.00,9.00,1.00,0.00,4.00,22.00,24.00,17.00,10.00,9.00,18.00,0.00,26.00,1.00,18.00,12.00,1.00,14.00,28.00,0.00,22.00,1.00,20.00,2.00,17.00,446.00,2.00,49.00,7.00,16.00,6.00,13.00,0.00,7.00,0.00,21.00,103.00,1.00,9.00,1.00,23.00,19.00,3.00,3.00,0.00,1547.00
MACHINEGUN,16.00,2.00,20.00,6.00,89.00,15.00,5.00,0.00,1.00,32.00,25.00,0.00,2.00,19.00,28.00,10.00,6.00,10.00,12.00,5.00,2.00,6.00,22.00,9.00,9.00,2.00,22.00,2.00,1.00,24.00,0.00,35.00,5.00,10.00,82.00,8.00,42.00,11.00,6.00,17.00,5.00,0.00,10.00,1.00,24.00,56.00,0.00,7.00,3.00,21.00,13.00,5.00,0.00,2.00,765.00
ANY OTHER WEAPON,1.00,1.00,6.00,1.00,11.00,4.00,0.00,0.00,0.00,10.00,3.00,0.00,0.00,0.00,4.00,1.00,2.00,3.00,2.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,10.00,3.00,0.00,1.00,1.00,0.00,0.00,6.00,234.00,0.00,3.00,1.00,1.00,4.00,0.00,0.00,1.00,1.00,0.00,4.00,0.00,1.00,0.00,4.00,0.00,0.00,3.00,0.00,331.00
COMBINATION GUN,1.00,2.00,7.00,0.00,16.00,2.00,2.00,0.00,0.00,12.00,1.00,0.00,0.00,1.00,11.00,1.00,2.00,1.00,3.00,5.00,0.00,11.00,1.00,5.00,2.00,1.00,3.00,2.00,1.00,1.00,0.00,0.00,1.00,2.00,4.00,0.00,1.00,2.00,4.00,5.00,0.00,0.00,6.00,0.00,0.00,8.00,0.00,1.00,1.00,4.00,1.00,6.00,3.00,0.00,143.00
