#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,
Dataset: Education,,,,
Time,,2016,,
Indicator,,"Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Mean years of schooling (ISCED 1 or higher), population 25+ years, female","Mean years of schooling (ISCED 1 or higher), population 25+ years, male"
Country,,,,
Afghanistan,,..,..,..
Åland Islands,,..,..,..
Albania,,..,..,..
Algeria,,..,..,..
American Samoa,,..,..,..
Andorra,,10.16,10.09,10.22
Angola,,..,..,..
Anguilla,,..,..,..
Antigua and Barbuda,,..,..,..
Argentina,,11.42,11.57,11.25
Armenia,,..,..,..
Aruba,,..,..,..
Australia,,12.42,12.44,12.41
Austria,,12.56,12.28,12.95
Azerbaijan,,10.52,10.21,11.01
Bahamas,,..,..,..
Bahrain,,8.17,8.54,7.98
Bangladesh,,5.91,5.21,6.6
Barbados,,..,..,..
Belarus,,..,..,..
Belgium,,11.78,11.63,11.95
Belize,,..,..,..
Benin,,..,..,..
Bermuda,,..,..,..
Bhutan,,..,..,..
Bolivia (Plurinational State of),,..,..,..
Bosnia and Herzegovina,,9.69,8.63,10.85
Botswana,,..,..,..
Brazil,,..,..,..
British Virgin Islands,,..,..,..
Brunei Darussalam,,..,..,..
Bulgaria,,11.81,11.87,11.75
Burkina Faso,,..,..,..
Burundi,,..,..,..
Cambodia,,..,..,..
Cameroon,,..,..,..
Canada,,..,..,..
Cabo Verde,,..,..,..
Cayman Islands,,..,..,..
Central African Republic,,..,..,..
Chad,,..,..,..
Channel Islands,,..,..,..
Chile,,..,..,..
China,,..,..,..
"China, Hong Kong Special Administrative Region",,..,..,..
"China, Macao Special Administrative Region",,10.51,10.3,10.74
Colombia,,8.27,8.46,8.13
Comoros,,..,..,..
Congo,,..,..,..
Cook Islands,,..,..,..
Costa Rica,,8.58,8.66,8.5
Côte d'Ivoire,,..,..,..
Croatia,,..,..,..
Cuba,,..,..,..
Curaçao,,..,..,..
Cyprus,,12.1,12.01,12.2
Czechia,,12.74,12.53,12.96
Democratic People's Republic of Korea,,..,..,..
Democratic Republic of the Congo,,6.76,5.27,8.37
Denmark,,12.59,12.72,12.43
Djibouti,,..,..,..
Dominica,,..,..,..
Dominican Republic,,..,..,..
Ecuador,,8.99,8.91,9.07
Egypt,,..,..,..
El Salvador,,6.89,6.66,7.31
Equatorial Guinea,,..,..,..
Eritrea,,..,..,..
Estonia,,13.66,14.11,13.17
Eswatini,,..,..,..
Ethiopia,,..,..,..
Faeroe Islands,,..,..,..
Falkland Islands (Malvinas),,..,..,..
Fiji,,..,..,..
Finland,,..,..,..
France,,11.35,11.13,11.59
French Guiana,,..,..,..
French Polynesia,,..,..,..
Gabon,,..,..,..
Gambia,,..,..,..
Georgia,,12.81,12.8,12.83
Germany,,14.13,13.77,14.52
Ghana,,..,..,..
Gibraltar,,..,..,..
Greece,,10.26,9.96,10.59
Greenland,,..,..,..
Grenada,,..,..,..
Guadeloupe,,..,..,..
Guam,,..,..,..
Guatemala,,..,..,..
Guernsey,,..,..,..
Guinea,,..,..,..
Guinea-Bissau,,..,..,..
Guyana,,..,..,..
Haiti,,..,..,..
Holy See,,..,..,..
Honduras,,6.53,6.56,6.5
Hungary,,11.89,11.68,12.13
Iceland,,..,..,..
India,,..,..,..
Indonesia,,7.98,7.57,8.39
Iran (Islamic Republic of),,10.01,9.94,10.07
Iraq,,..,..,..
Ireland,,..,..,..
Isle of Man,,..,..,..
Israel,,..,..,..
Italy,,..,..,..
Jamaica,,..,..,..
Japan,,..,..,..
Jersey,,..,..,..
Jordan,,..,..,..
Kazakhstan,,..,..,..
Kenya,,..,..,..
Kiribati,,..,..,..
Kuwait,,..,..,..
Kyrgyzstan,,..,..,..
Lao People's Democratic Republic,,..,..,..
Latvia,,..,..,..
Lebanon,,..,..,..
Lesotho,,..,..,..
Liberia,,..,..,..
Libya,,..,..,..
Liechtenstein,,..,..,..
Lithuania,,13.22,13.21,13.24
Luxembourg,,..,..,..
Madagascar,,..,..,..
Malawi,,..,..,..
Malaysia,,10.16,10.02,10.3
Maldives,,..,..,..
Mali,,1.55,1.03,2.11
Malta,,11.29,11.02,11.56
Marshall Islands,,..,..,..
Martinique,,..,..,..
Mauritania,,..,..,..
Mauritius,,..,..,..
